structure 1
#    𝑓       𝑉𝑐(𝑓)      𝑠(𝑓)         𝑠̄(𝑓,𝑛ₛ)      𝜀(𝑠̄)        𝑍(𝑠̄)        𝑉ₘ(𝑠̄)      𝐺𝑒𝑟(𝑓)          𝑝(𝑓)     𝑝̄(𝑠̄)      𝐸𝑐𝑎𝑣(𝑓)      𝐺𝑐𝑎𝑣(𝑓)      𝐺𝑡𝑜𝑡(𝑓)          Δ𝐺𝑡𝑜𝑡
1    1.20     96.249    1.000000    1.000000    1.002500    0.778100    108.160    -230.01727187    0.801    0.802    0.01630380    0.03386592    -229.98340596     0.00
2    1.15     88.194    0.971287    0.973363    1.002711    0.914928     99.745    -230.01522273    1.234    1.231    0.02061010    0.04755580    -229.96766692     0.00
3    1.10     80.604    0.942584    0.946649    1.002947    1.081190     91.756    -230.01273234    1.978    1.961    0.02723766    0.07016953    -229.94256281     0.00
4    1.05     73.363    0.913469    0.919876    1.003212    1.284277     84.189    -230.00817633    3.300    3.223    0.03840753    0.10896474    -229.89921158     0.00
5    1.00     66.571    0.884361    0.892969    1.003511    1.534677     77.015    -230.00160881    5.665    5.455    0.06010052    0.17953497    -229.82207384     0.00
6    0.97     63.305    0.869656    0.879335    1.003677    1.683092     73.541    -229.99682422    7.519    7.190    0.08019957    0.23760259    -229.75922162     0.00
7    0.95     60.085    0.854653    0.865817    1.003852    1.847052     70.201    -229.99012243    10.102    9.510    0.11377280    0.32198261    -229.66813981     0.00

structure 2
#    𝑓       𝑉𝑐(𝑓)      𝑠(𝑓)         𝑠̄(𝑓,𝑛ₛ)      𝜀(𝑠̄)        𝑍(𝑠̄)        𝑉ₘ(𝑠̄)      𝐺𝑒𝑟(𝑓)          𝑝(𝑓)     𝑝̄(𝑠̄)      𝐸𝑐𝑎𝑣(𝑓)      𝐺𝑐𝑎𝑣(𝑓)      𝐺𝑡𝑜𝑡(𝑓)          Δ𝐺𝑡𝑜𝑡
1    1.20     96.249    1.000000    1.000000    1.002500    0.778100    108.160    -230.01727187    0.801    0.802    0.01630380    0.03386592    -229.98340596     0.00
2    1.15     88.194    0.971287    0.973363    1.002711    0.914928     99.745    -230.01522273    1.234    1.231    0.02061010    0.04755580    -229.96766692     0.00
3    1.10     80.604    0.942584    0.946649    1.002947    1.081190     91.756    -230.01273234    1.978    1.961    0.02723766    0.07016953    -229.94256281     0.00
4    1.05     73.363    0.913469    0.919876    1.003212    1.284277     84.189    -230.00817633    3.300    3.223    0.03840753    0.10896474    -229.89921158     0.00
5    1.00     66.571    0.884361    0.892969    1.003511    1.534677     77.015    -230.00160881    5.665    5.455    0.06010052    0.17953497    -229.82207384     0.00
6    0.97     63.305    0.869656    0.879335    1.003677    1.683092     73.541    -229.99682422    7.519    7.190    0.08019957    0.23760259    -229.75922162     0.00
7    0.95     60.085    0.854653    0.865817    1.003852    1.847052     70.201    -229.99012243    10.102    9.510    0.11377280    0.32198261    -229.66813981     0.00

structure 3
#    𝑓       𝑉𝑐(𝑓)      𝑠(𝑓)         𝑠̄(𝑓,𝑛ₛ)      𝜀(𝑠̄)        𝑍(𝑠̄)        𝑉ₘ(𝑠̄)      𝐺𝑒𝑟(𝑓)          𝑝(𝑓)     𝑝̄(𝑠̄)      𝐸𝑐𝑎𝑣(𝑓)      𝐺𝑐𝑎𝑣(𝑓)      𝐺𝑡𝑜𝑡(𝑓)          Δ𝐺𝑡𝑜𝑡
1    1.20    204.741    1.000000    1.000000    1.002500    0.778100    108.160    -460.03525872    0.805    0.802    0.03075637    0.06568685    -459.96957188    -1.73
2    1.15    191.238    0.977514    0.973363    1.002711    0.914928     99.745    -460.03249372    1.224    1.231    0.03886542    0.09245956    -459.94003416    -2.95
3    1.10    178.202    0.954778    0.946649    1.002947    1.081190     91.756    -460.02739698    1.927    1.961    0.05134064    0.13673074    -459.89066625    -3.48
4    1.05    166.119    0.932692    0.919876    1.003212    1.284277     84.189    -460.02099258    3.069    3.223    0.07235695    0.21269296    -459.80829963    -6.20
5    1.00    154.381    0.910185    0.892969    1.003511    1.534677     77.015    -460.01022436    5.036    5.455    0.11315394    0.35070518    -459.65951918    -9.65
6    0.97    148.608    0.898695    0.879335    1.003677    1.683092     73.541    -460.00255150    6.531    7.190    0.15094052    0.46401005    -459.53854145    -12.61
7    0.95    143.435    0.888144    0.865817    1.003852    1.847052     70.201    -459.99386711    8.327    9.510    0.21404328    0.62816587    -459.36570124    -18.46

